source,target,km,days,expense,type,BREED
50162,50550,63.549,0.268,0.027,coastal,routes
50163,50208,175.495,5.85,6.142,road,routes
50163,50470,260.004,8.667,9.1,road,routes
50163,50726,223.507,7.45,7.823,road,routes
50163,50727,21.155,0.705,0.74,road,routes
50164,50170,79.669,0.664,0.271,fastdown,routes
50164,50190,100.411,3.347,3.514,road,routes
50165,50213,25.617,0.854,0.897,road,routes
50165,50243,17.566,0.586,0.615,road,routes
50166,50034,105.86,3.529,3.705,road,routes
50166,50114,68.903,2.297,2.412,road,routes
50166,50361,173.8,5.793,6.083,road,routes
50167,50065,175.803,1.191,0.119,coastal,routes
50167,50264,141.066,0.877,0.088,coastal,routes
50168,50315,21.482,0.716,0.752,road,routes
50168,50402,33.121,1.104,1.159,road,routes
50169,50050,367.978,2.749,0.275,coastal,routes
50169,50245,21.188,0.706,0.742,road,routes
50169,50363,249.303,1.66,0.166,coastal,routes
50169,50573,212.307,1.442,0.144,coastal,routes
50169,50588,134.778,1.174,0.117,coastal,routes
50169,50590,382.369,2.802,0.28,coastal,routes
50169,50598,46.841,0.254,0.025,coastal,routes
50169,50613,242.042,1.178,0.118,coastal,routes
50170,50026,80.267,0.669,0.273,fastdown,routes
50170,50164,79.669,5.311,0.542,upstream,routes
50170,50771,14.483,0.483,0.507,road,routes
50171,50022,68.254,0.486,0.049,coastal,routes
50171,50042,61.409,0.549,0.055,coastal,routes
50171,50366,145.115,4.837,5.079,road,routes
50172,50042,62.184,2.073,2.176,road,routes
50172,50078,48.58,1.619,1.7,road,routes
50172,50174,84.17,2.806,2.946,road,routes
50173,50177,27.938,0.931,0.978,road,routes
50173,50327,70.543,2.351,2.469,road,routes
50174,50043,67.739,2.258,2.371,road,routes
50174,50078,87.732,2.924,3.071,road,routes
50174,50172,84.17,2.806,2.946,road,routes
50174,50307,87.221,1.342,0.297,downstream,routes
50174,50308,34.578,1.153,1.21,road,routes
50175,50255,30.309,0.227,0.023,coastal,routes
50175,50378,39.936,0.378,0.038,coastal,routes
50176,50031,110.835,3.695,3.879,road,routes
50176,50183,242.678,1.56,0.156,coastal,routes
50176,50250,175.82,1.381,0.138,coastal,routes
50177,50109,28.736,0.958,1.006,road,routes
50177,50173,27.938,0.931,0.978,road,routes
50178,50304,24.233,0.808,0.848,road,routes
50178,50346,60.628,2.021,2.122,road,routes
50179,50011,142.193,1.26,0.126,coastal,routes
50179,50199,124.981,0.633,0.063,coastal,routes
